popularity,vote_average,vote_count,runtime,release_year,is_drama,is_comedy,is_thriller,is_action,is_romance,is_horror,is_adventure,is_crime,cluster_id
0.0584093748751352,0.6623376623376624,0.0636466126883263,0.12,1.0,0,0,1,0,0,0,0,0,0
0.0577472394247955,0.5454545454545456,0.0571897099518294,0.1066666666666666,1.0,0,1,0,0,0,0,0,0,2
0.0568722844670438,0.5064935064935066,0.0001024905196269,0.0,1.0,0,0,0,1,0,0,1,0,1
0.0567709981459237,0.3376623376623377,0.0175258788562058,0.1066666666666666,1.0,0,0,1,1,0,0,1,0,1
0.0565378971213524,0.7792207792207793,0.0423285846059239,0.1022222222222222,1.0,0,0,0,0,0,0,1,0,2
0.0558337131444058,0.5454545454545456,0.0274674592600184,0.1022222222222222,1.0,0,1,0,0,0,0,1,0,2
0.0552683469059833,0.7012987012987015,0.0191657271702367,0.1311111111111111,1.0,1,0,0,0,0,0,0,0,3
0.0533125902019717,0.6883116883116884,0.0761504560828123,0.1111111111111111,1.0,0,1,0,0,1,0,0,0,2
0.0528174665274629,0.5194805194805197,0.0328994568002459,0.1077777777777777,1.0,0,0,0,0,0,1,0,0,0
0.0526020398295042,0.4935064935064935,0.042226094086297,0.1044444444444444,1.0,0,1,0,1,0,0,1,0,1
0.0522846901708734,0.7142857142857144,0.0476580916265245,0.0088888888888888,1.0,0,0,0,0,0,0,1,0,2
0.0503771058596365,0.5064935064935066,0.0154760684636671,0.1322222222222222,1.0,1,0,0,1,0,0,0,0,1
0.0500523893719029,0.3116883116883117,0.0819924157015476,0.1011111111111111,1.0,0,0,1,0,0,0,0,0,0
0.049918573801288,0.5324675324675325,0.0106590140412011,0.1155555555555555,1.0,0,0,1,1,0,0,0,0,1
0.0464726258028555,0.6103896103896105,0.0362816439479348,0.1155555555555555,1.0,0,1,0,0,0,0,0,0,2
0.0457783552132199,0.6493506493506493,0.0446858665573434,0.1122222222222222,1.0,0,1,0,0,0,0,0,0,2
